Title,Type,Price,Spec1,Spec2,Spec3,URL
단독 ,매매,2억 7000,198/135m², 2/0층, 남서향,https://new.land.naver.com/?articleNo=2102126862
단독 ,매매,3억 2000,214/197m², 2/0층, 남동향,https://new.land.naver.com/?articleNo=2102571926
단독 ,매매,2억,165/71m², 1/0층, 남향,https://new.land.naver.com/?articleNo=2101537486
단독 ,매매,1억 7000,146/66m², 1/0층, 남향,https://new.land.naver.com/?articleNo=2101536402
다가구 ,매매,9억,231/396m², 4/0층, 남서향,https://new.land.naver.com/?articleNo=2102417744
단독 ,매매,4억 2500,204/329m², 3/0층, 남향,https://new.land.naver.com/?articleNo=2102360338
단독 ,매매,2억 8000,181/165m², 2/0층, 북서향,https://new.land.naver.com/?articleNo=2102361905
다가구 ,매매,10억,368/502m², 4/0층, 남향,https://new.land.naver.com/?articleNo=2102015454
단독 ,매매,2억 3000,240/141m², 2/B1층, 남향,https://new.land.naver.com/?articleNo=2102153927
단독 ,매매,2억 6000,187/143m², 2/0층, 남향,https://new.land.naver.com/?articleNo=2102153799
단독 ,매매,3억 2000,214/197m², 2/B1층, 남서향,https://new.land.naver.com/?articleNo=2102031712
단독 ,매매,2억 9000,195/194m², 2/0층, 남서향,https://new.land.naver.com/?articleNo=2101736461
다가구 ,매매,12억 5000,264/534m², 4/0층, 남향,https://new.land.naver.com/?articleNo=2101773321
다가구 ,매매,5억 6000,248/391m², 3/0층, 남동향,https://new.land.naver.com/?articleNo=2101733428
다가구 ,매매,2억 9000,241/249m², 2/B1층, 남향,https://new.land.naver.com/?articleNo=2102185130
다가구 ,매매,9억,231/448m², 4/0층, 서향,https://new.land.naver.com/?articleNo=2102198968
다가구 ,매매,5억 2000,223/364m², 3/0층, 남향,https://new.land.naver.com/?articleNo=2102031399
다가구 ,매매,6억 5000,418/655m², 4/0층, 남동향,https://new.land.naver.com/?articleNo=2102082848
다가구 ,매매,5억 7000,248/391m², 3/0층, 남동향,https://new.land.naver.com/?articleNo=2102031649
다가구 ,매매,5억 6000,179/358m², 4/0층, 남서향,https://new.land.naver.com/?articleNo=2101392401
단독 ,매매,8억 3000,232/392m², 4/0층, 북동향,https://new.land.naver.com/?articleNo=2101392392
단독 ,매매,3억 8000,237/237m², 2/B1층, 남동향,https://new.land.naver.com/?articleNo=2101373073
단독 ,매매,8억,232/232m², 4/0층, 남향,https://new.land.naver.com/?articleNo=2101342791
단독 ,매매,4억,496/33m², 1/0층, 남서향,https://new.land.naver.com/?articleNo=2101828171
단독 ,매매,1억 6500,149/80m², 1/0층, 남서향,https://new.land.naver.com/?articleNo=2101219628
단독 ,매매,4억,195/282m², 3/0층, 남동향,https://new.land.naver.com/?articleNo=2101815434
단독 ,매매,3억 2000,145/85m², 1/0층, 동향,https://new.land.naver.com/?articleNo=2101137554
단독 ,매매,4억 2000,202/421m², 3/B1층, 남서향,https://new.land.naver.com/?articleNo=2101045418
다가구 ,매매,6억 5000,239/329m², 3/0층, 남동향,https://new.land.naver.com/?articleNo=2100878911
다가구 ,매매,6억 5000,261/488m², 3/B1층, 동향,https://new.land.naver.com/?articleNo=2100742186
